[2026-08-04T11:18:08.528Z] GET http://localhost:5173/memorial/js/fallen-data.js → 304 (3ms, ?B)
[2026-08-04T11:18:08.528Z] GET http://localhost:5173/memorial/js/memorial.js → 200 (17ms, 25886B)
[2026-08-04T11:18:08.528Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (1ms, -837B)
[2026-08-04T11:18:08.529Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -837B)
[2026-08-04T11:18:08.530Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -837B)
[2026-08-04T11:18:08.556Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9H0TbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:18:08.556Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9GKTbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:18:08.556Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9GYTbFhsqMA6aw.woff2 → 200 (1ms, -815B)
[2026-08-04T11:18:08.557Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9H2TbFhsqMA.woff2 → 200 (?ms, -815B)
[2026-08-04T11:18:08.557Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:18:08.557Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -815B)
[2026-08-04T11:18:08.587Z] GET http://localhost:5173/memorial/fonts/rag-marom-2.1.otf → 304 (?ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/32fe3450649b.jpg → 304 (24ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/9cf53c038c48.jpg → 304 (25ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/dfeee11d282e.jpg → 304 (25ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/5341e9bba404.jpg → 304 (26ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/1b915473a4be.jpg → 304 (28ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/11192c8799cf.jpg → 304 (33ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/fd8de7ac0945.jpg → 304 (25ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/e8bc48a24ed0.jpg → 304 (26ms, ?B)
[2026-08-04T11:18:08.597Z] GET http://localhost:5173/memorial/img/82095380a431.jpg → 304 (26ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/404fd8709f67.jpg → 304 (27ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/1b3e032304e5.jpg → 304 (26ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/a4f726e33519.jpg → 304 (25ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/c0e42f988746.jpg → 304 (32ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/2d871f325832.jpg → 304 (27ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/3f0f30887d2b.jpg → 304 (27ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/42afcf6e9656.jpg → 304 (27ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/bbf2d4a667dc.jpg → 304 (33ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/9bae545cbf32.jpg → 304 (33ms, ?B)
[2026-08-04T11:18:08.598Z] GET http://localhost:5173/memorial/img/fdc10dac4656.jpg → 304 (33ms, ?B)
[2026-08-04T11:18:08.725Z] GET http://localhost:5173/memorial/js/a11y-widget.jsx → pending (?ms, ?B)
[2026-08-04T11:18:40.352Z] GET http://localhost:5173/memorial/img/996bd5c8ab08.jpg → 200 (5ms, ?B)
[2026-08-04T11:18:40.352Z] GET http://localhost:5173/memorial/img/26bc1a806d20.jpg → 200 (6ms, ?B)
[2026-08-04T11:18:40.353Z] GET http://localhost:5173/memorial/img/081eeb372044.jpg → 200 (6ms, ?B)
[2026-08-04T11:18:40.353Z] GET http://localhost:5173/memorial/img/65ab004f182f.jpg → 200 (7ms, ?B)
[2026-08-04T11:18:40.353Z] GET http://localhost:5173/memorial/img/fa15f46cbffa.jpg → 200 (7ms, ?B)
[2026-08-04T11:18:40.353Z] GET http://localhost:5173/memorial/img/98dcb37e483c.jpg → 200 (9ms, ?B)
[2026-08-04T11:19:20.893Z] GET http://localhost:5173/memorial/index.html → 200 (6ms, ?B)
[2026-08-04T11:19:20.907Z] GET https://fonts.googleapis.com/css2?family=Frank+Ruhl+Libre:wght@300;400;500;700;900&family=Heebo:wght@300;400;500;600;700;800;900&family=Inter:wght@400;500;600;700;800;900&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -698B)
[2026-08-04T11:19:20.907Z] GET http://localhost:5173/memorial/css/memorial.css → 200 (2ms, ?B)
[2026-08-04T11:19:20.907Z] GET http://localhost:5173/memorial/assets/logo.png → 304 (2ms, ?B)
[2026-08-04T11:19:20.907Z] GET http://localhost:5173/memorial/js/fallen-data.js → 304 (2ms, ?B)
[2026-08-04T11:19:20.907Z] GET http://localhost:5173/memorial/js/memorial.js → 304 (3ms, ?B)
[2026-08-04T11:19:20.908Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-08-04T11:19:20.908Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -837B)
[2026-08-04T11:19:20.909Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -837B)
[2026-08-04T11:19:20.917Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9H0TbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:20.917Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9GKTbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:20.917Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9GYTbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:20.917Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9H2TbFhsqMA.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:20.917Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-08-04T11:19:20.918Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:20.918Z] GET http://localhost:5173/memorial/fonts/rag-marom-2.1.otf → 304 (?ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/32fe3450649b.jpg → 304 (33ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/9cf53c038c48.jpg → 304 (34ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/dfeee11d282e.jpg → 304 (34ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/5341e9bba404.jpg → 304 (34ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/1b915473a4be.jpg → 304 (35ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/11192c8799cf.jpg → 304 (34ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/fd8de7ac0945.jpg → 304 (36ms, ?B)
[2026-08-04T11:19:20.925Z] GET http://localhost:5173/memorial/img/e8bc48a24ed0.jpg → 304 (36ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/82095380a431.jpg → 304 (41ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/404fd8709f67.jpg → 304 (34ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/1b3e032304e5.jpg → 304 (41ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/a4f726e33519.jpg → 304 (41ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/c0e42f988746.jpg → 304 (36ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/2d871f325832.jpg → 304 (41ms, ?B)
[2026-08-04T11:19:20.926Z] GET http://localhost:5173/memorial/img/3f0f30887d2b.jpg → 304 (46ms, ?B)
[2026-08-04T11:19:20.927Z] GET http://localhost:5173/memorial/img/42afcf6e9656.jpg → 304 (40ms, ?B)
[2026-08-04T11:19:20.927Z] GET http://localhost:5173/memorial/img/bbf2d4a667dc.jpg → 304 (42ms, ?B)
[2026-08-04T11:19:20.927Z] GET http://localhost:5173/memorial/img/9bae545cbf32.jpg → 304 (45ms, ?B)
[2026-08-04T11:19:20.927Z] GET http://localhost:5173/memorial/img/fdc10dac4656.jpg → 304 (42ms, ?B)
[2026-08-04T11:19:20.974Z] GET http://localhost:5173/memorial/js/a11y-widget.jsx → 200 (43ms, ?B)
[2026-08-04T11:19:26.510Z] GET http://localhost:5173/memorial/img/996bd5c8ab08.jpg → 200 (2ms, ?B)
[2026-08-04T11:19:26.511Z] GET http://localhost:5173/memorial/img/26bc1a806d20.jpg → 200 (3ms, ?B)
[2026-08-04T11:19:26.511Z] GET http://localhost:5173/memorial/img/081eeb372044.jpg → 200 (4ms, ?B)
[2026-08-04T11:19:26.511Z] GET http://localhost:5173/memorial/img/65ab004f182f.jpg → 200 (4ms, ?B)
[2026-08-04T11:19:26.511Z] GET http://localhost:5173/memorial/img/fa15f46cbffa.jpg → 200 (4ms, ?B)
[2026-08-04T11:19:26.511Z] GET http://localhost:5173/memorial/img/98dcb37e483c.jpg → 200 (5ms, ?B)
[2026-08-04T11:19:43.192Z] GET http://localhost:5173/memorial/index.html → 200 (2ms, ?B)
[2026-08-04T11:19:43.198Z] GET https://fonts.googleapis.com/css2?family=Frank+Ruhl+Libre:wght@300;400;500;700;900&family=Heebo:wght@300;400;500;600;700;800;900&family=Inter:wght@400;500;600;700;800;900&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, -698B)
[2026-08-04T11:19:43.200Z] GET http://localhost:5173/memorial/css/memorial.css → 200 (4ms, ?B)
[2026-08-04T11:19:43.200Z] GET http://localhost:5173/memorial/assets/logo.png → 304 (4ms, ?B)
[2026-08-04T11:19:43.200Z] GET http://localhost:5173/memorial/js/fallen-data.js → 304 (4ms, ?B)
[2026-08-04T11:19:43.200Z] GET http://localhost:5173/memorial/js/memorial.js → 304 (4ms, ?B)
[2026-08-04T11:19:43.203Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-08-04T11:19:43.203Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -837B)
[2026-08-04T11:19:43.204Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -837B)
[2026-08-04T11:19:43.211Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9H0TbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:43.211Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9GKTbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:43.211Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9GYTbFhsqMA6aw.woff2 → 200 (?ms, -815B)
[2026-08-04T11:19:43.211Z] GET https://fonts.gstatic.com/s/heebo/v28/NGS6v5_NC0k9P9H2TbFhsqMA.woff2 → 200 (?ms, -815B)
